Title,Agency,Description,Who's it for,What it gives,Link,Background Image Link,Scheme Type,search_booster(WL)
U Care Hardship Grant,National Trades Union Congress (NTUC),The U Care Hardship Grant provides a one-off assistance to low-income union members in the event that the member suffers hardship arising from accidents,Families who have just lost a breadwinner,Financial assistance,https://www.ntuc.org.sg/wps/portal/up2/home/aboutntuc/ucare/ucareprogrammes/details?WCM_GLOBAL_CONTEXT=/content_library/ntuc/home/areas+of+interest/care+and+share/u+care+programmes/af39420045ffb17db2f6b3f5baad8da0,https://chidnast.sirv.com/SchemesSG/ntuc.jpg,"Loss of Breadwinner,Low Income","Loss of breadwinner, loss of income earner, father die, mother die, father passed away, mother passed away, accident"
Vaccination and Childhood Developmental Screening Subsidies,Ministry of Health (MOH),The Vaccination and Childhood Development Screening Subsidies (VCDSS) enable all eligible Singapore Citizens (SCs) and Permanent Residents (PRs) to receive subsidies for nationally-recommended vaccinations and Childhood Development Screenings (CDS) at polyclinics and/or CHAS GP clinics.,"Chilren,Critical medical needs",Financial assistance for vaccination and screenings,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/vaccination-and-childhood-developmental-screening-subsidies,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy"
Various Programmes and Services,Rare Disorders Society Singapore (RDSS),"Various financial support schemes for medical intervention, power supply, special formula foods, consumables and other services.",Special needs children,"Financial assistance,Food",https://www.rdss.org.sg/programs-services/,https://chidnast.sirv.com/SchemesSG/rdss.jpg,Healthcare,"Healthcare, rare disease, kids, no money to see doctor, unknown disease"
Various schemes,Loving Heart Multi-Service Centre (Jurong),"Pupil Breakfast Scheme, free tuition, free TCM, screening, food gift and referral","Low income,Low income families","Food,TCM,Educational programmes",https://www.lovingheartj.org/pupil-breakfast-scheme,https://chidnast.sirv.com/SchemesSG/loving-heart-msc-jurong.jpg,"Low Income,Food,Referral,Healthcare","Low income, no money to buy food, have not eaten, hungry"
VWO Transport Subsidy Scheme,SGEnable,"Up to 80% subsidy for transport fees supporting eligible SC/PRs with disabilities who need to use dedicated transport provided by the Social Service Agencies (SSAs) to access the Early Intervention Programme for Infants and Children (EIPIC), Special Education (SPED) schools, Day Activity Centres (DACs), Sheltered Workshops (SWs) and Special Student Care Centres (SSCCs).","Caregivers,PWDs",Transport subsidy for PWDs,https://www.sgenable.sg/pages/content.aspx?path=/schemes/transport/vwo-transport-subsidies/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
Wheelchair Lifter Pilot Scheme,Housing and Development Board (HDB),"Wheelchair lifter at flat with multi-step main entrance, where technically feasible. Under a pilot scheme, we will offer the wheelchair lifter for flats with multi-step entrances if the ramp solutions offered under EASE cannot be installed due to site constraints.",Elderly,Retrofitting of flats to improve mobility for elderly,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/wheelchair-lifter-pilot-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,"Housing,Elderly","Disabled, elderly, home, renovation, retrofitting, accessibility"
Workfare Skills Support (WSS) Scheme,Workforce Singapore (WSG),"WSS encourages low wage workers to undertake training that leads to more impactful employment outcomes. Eligible individuals may receive: Training allowance for selected courses that individuals had paid for themselves, and a cash reward for completing training","Low wage workers,Low income","Employment assistance,Financial assistance for low wage workers",https://www.wsg.gov.sg/programmes-and-initiatives/workfare-skills-support-scheme-individuals.html,https://chidnast.sirv.com/SchemesSG/wsg.jpg,Work,"Low income, upskill, low wage workers,training"
YMCA FACES,Young Men's Christian Association (YMCA),"Short term financial assistance, bridging fund for emergency situations, and employment training for persons with special needs","Low income,Low income families,Special needs","Financial assistance for daily needs,Employment assistance for persons with special needs",https://www.ymca.org.sg/community-services/financial-assistance/ymca-faces/,https://chidnast.sirv.com/SchemesSG/ymca.jpg,"Low Income,Special Needs,Family","Financial assistance, money for daily expenses, household needs, befriending"
Assisi Hospice,Assisi Hospice,"Provides compassionate, personalised and quality Palliative Care to adults and children with life limiting illnesses through Inpatient, Home and Day Care services.","Facing end of life,Elderly,Caregivers",End-of-life care,https://www.assisihospice.org.sg/palliative/#ourcareservices,https://chidnast.sirv.com/SchemesSG/assissi.jpg,"Healthcare,End-of-Life","Hospice, Low Income, Palliative, Dying, Old, Elderly, Sick"
Singapore Hospice Council,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.","Facing end of life,Elderly,Caregivers","End of life care,Emotional care",https://singaporehospice.org.sg/,https://chidnast.sirv.com/SchemesSG/shc.jpg,"Healthcare,End of Life","Hospice, Low Income, Palliative, Dying, Old, Elderly, Sick, Caregiver, Dying father, Dying mother"
Babes - A Helping Hand for Pregnant Teens,Babes - A Helping Hand for Pregnant Teens,"Staff will discuss the various options available in order for client to make an informed decision. Provides support and linking with the appropriate resources, depending on what the situation requires.","Teenagers facing pregnancy,Youth-at-risk",Counselling for pregnant teens,https://www.babes.org.sg/we-are-here-for-you/our-services/,https://chidnast.sirv.com/SchemesSG/babes.jpg,Youth-at-Risk,"Teenage Pregnancy, Pregnant, Young Mother, Baby, abortion"
Pregnancy Crisis and Support,Pregnancy Crisis and Support,"For emotional support, guidance, help and referrals that could facilitate a decision, whatever that decision may be.","Teenagers facing pregnancy,Pregnant individuals in distress,Youth-at-risk",Counselling for pregnancy crises,https://www.pregnancycrisis.sg/Home,https://chidnast.sirv.com/SchemesSG/pcs.jpg,Youth-at-Risk,"Teenage Pregnancy, Pregnant, Young Mother, Baby, abortion"
Tinkle Friend,Children-at-Risk Empowerment Association,"Tinkle Friend is a national toll-free helpline (1800 2744 788) and chatline for all primary-school-aged children in Singapore. Tinkle Friend provides support, advice, and information to lonely and distressed children, especially in situations when their parents or main caregivers are unavailable.","In need of mental healthcare,Children","Counselling for distressed children,Emotional care",https://tinklefriend.sg/,https://chidnast.sirv.com/SchemesSG/tinklefriend.jpg,Children,"Children depressed, children sad, bullied kids,primary school young children, alone, lonely, friends"
Star Shelter,Singapore Council of Women's Organisations,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.","Facing abuse,Need shelter","Shelter,Protection against violence",https://www.scwo.org.sg/what-we-do/services/star-shelter/,https://chidnast.sirv.com/SchemesSG/scwo.jpg,"Homeless,Family Violence","Family violence, abusive spouse, husband hit, wife hit"
Shelter of Displaced Families and Individuals,New Hope Community Services,"Temporary housing for homeless families, while assisting them to regain their footing in the society","Need shelter,Homeless",Shelter,https://www.newhopecs.org.sg/displacedfamiliesandindividuals,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,"Homeless,Family Violence","Homeless, no place to stay, no roof over head, no accommodation"
Transit Point @ Spooner,New Hope Community Services,Temporary housing to ex-offenders.,Ex-offenders,Shelter,https://www.newhopecs.org.sg/transit-point-spooner,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,"Homeless,Ex-offender","Ex offenders, ex convict, ex-convict, homeless, no place to stay, no roof over head, no accommodation"
Transit Point @ Margaret Drive,New Hope Community Services,Immediate safe accommodation for rough sleepers,Need shelter,Shelter,https://www.newhopecs.org.sg/tpmd,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,Homeless,"Homeless, no place to stay, no roof over head, no accommodation"
PAVE Integrated Services for Individual and Family Protection Specialist Centre,PAVE,"PAVE is an integrated service for family violence and child protection. PAVE provides services for persons who abuse, survivors and vulnerable family members such as children and the elderly in dealing with violence.",Facing abuse,Protection against violence,https://www.pave.org.sg/our-services-isifpsc.php,https://chidnast.sirv.com/SchemesSG/pave.jpg,Family Violence,"Family violence, abusive spouse, husband hit, wife hit, hit my kid, protect my child from him"
SAFE Programme (Stop Abuse in Families),Trans Family Services,"TRANS SAFE Centre is a Family Violence Specialist Centre (FVSC). It aims to promote safe relationship in families by providing help to victims of abuse, persons who abuse and their families who are affected by the abuse.",Facing abuse,Shelter,https://www.trans.org.sg/index,https://chidnast.sirv.com/SchemesSG/trans.jpg,Family Violence,"Family violence, abusive spouse, husband hit, wife hit, domestic abuse"
e2i - Employment and Employability Institute,e2i - Employment and Employability Institute,"e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training and job redesign solutions.","Unemployed,Retrenched,In need of job",Employment assistance,https://e2i.com.sg/,https://chidnast.sirv.com/SchemesSG/e2i.jpg,Employment,"lost my job, need to find job, got retrenched, cannot find work, skills upgrading"
COVID-19 Relief Measures,DBS,Various support and relief measures for DBS account holders and customers,In debt,Debt assistance,https://www.dbs.com.sg/personal/support-covid-community,https://chidnast.sirv.com/SchemesSG/dbs.jpg,"COVID-19, Debt","COVID, debt, furloughed, retrenched, no job, loan repayment, debt repayment, debt restructuring, home loan, mortage"
COVID-19 Support,OCBC,Various support and relief measures for OCBC account holders and customers,In debt,Debt assistance,https://www.ocbc.com/group/covid19-support/index.html,https://chidnast.sirv.com/SchemesSG/ocbc.jpg,"COVID-19, Debt","COVID, debt, furloughed, retrenched, no job, loan repayment, debt repayment, debt restructuring, home loan, mortage"
COVID-19 Support,UOB,Various support and relief measures for UOB account holders and customers,In debt,Debt assistance,https://www.uobgroup.com/uobgroup/covid-relief-assistance.page,https://chidnast.sirv.com/SchemesSG/uob.jpg,"COVID-19, Debt","COVID, debt, furloughed, retrenched, no job, loan repayment, debt repayment, debt restructuring, home loan, mortage"
Free Food For All,Free Food For All,Free Food For All runs several programmes across a spectrum of communities in Singapore addressing Food Insecurity and Food Waste.,Need food support,Food,https://www.freefood.org.sg/what-we-do,https://chidnast.sirv.com/SchemesSG/fffa.jpg,"Low Income,Food","Have not eaten, hungry"
Willing Hearts,Willing Hearts,"To provide daily meals, food and other support services to the underprivileged, the needy, and other marginalized members in Singapore, and to assist and guide them towards rehabilitating and reinstating themselves as useful members of our society.",Need food support,Food,https://willinghearts.org.sg/,https://chidnast.sirv.com/SchemesSG/willinghearts.jpg,"Low Income,Food","Have not eaten, hungry"
Ulu Pandan Stars,Ulu Pandan PAP Community Foundation (PCF) and Ulu Pandan Citizen Consultative Committee’s (CCC) – Community Development & Welfare Fund Subcommittee (CDWF),The programme collaborates with youth volunteers to benefit children with free tuition and courses from underserved families in Ulu Pandan.?,"Children, Children from low income families",Educational programmes,https://upstars.ulupandan.sg/home/,https://chidnast.sirv.com/SchemesSG/upstars.jpg,"Low Income,Education,Student Care","Free tuition, need tuition, education, no money for school"
Lighting Hearts and Lighting Homes,Lighting Hearts and Lighting Homes,This initiaitve aims to further support beneficiaries in need of financial assistance and raise awareness to improve the beneficiaries life,"Low income,Need food support,Low income families",Financial assistance,https://www.lightingheartslightinghomes.com/about-us/,https://chidnast.sirv.com/SchemesSG/lhlh.jpg,Low Income,"Low Income, financial assistance, money for daily needs, Comcare"
Before and After School Care Subsidy,Singapore Indian Development Association (SINDA),The Before and After School Care Subsidy (BASC) is available to low-income families with children aged 7 – 14 enrolled in non-profit BASC centres. It augments the subsidies provided by Ministry of Social and Family Development (MSF) and Student Care Centres.,"Indian community,Children from low income families,Low income families",Educational programmes,https://www.sinda.org.sg/financial_assistance/basc/,https://chidnast.sirv.com/SchemesSG/sinda.jpg,Low Income,"Indians, Low Income, underprivileged individuals, underprivileged families, financial assistance, Comcare, vulnearable families"
Legal Clinic,Singapore Indian Development Association (SINDA),"The legal clinic offers free legal services to Indian families in need. Lawyers from accredited law firms offer their services on a pro-bono basis, and will explain to clients the relevant legal procedures, legal terms and inform them of the estimated costs they may incur and support systems that they can tap on.",In need of legal aid,Legal services,https://www.sinda.org.sg/financial_assistance/legal-clinic/,https://chidnast.sirv.com/SchemesSG/sinda.jpg,Low Income,"Indians, Low Income, financial assistance, Comcare, vulnearable families"
SINDA Job Care Scheme,Singapore Indian Development Association (SINDA),"SINDA’s Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.","Indian community,Retrenched,Unemployed",Employment assistance,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,https://chidnast.sirv.com/SchemesSG/sinda.jpg,"Low Income, Employment","Indians, Lower Income, Low Income, lost my job, need to find job, got retrenched, cannot find work, skills upgrading"
Pre-School Bursary,Singapore Indian Development Association (SINDA),SINDA’s pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,"Indian community,Children from low income families,Low income families",Financial assistance,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,https://chidnast.sirv.com/SchemesSG/sinda.jpg,"Education,Childcare","Indians, Lower Income, Low Income, pre-school, nursery, kindergarten, childcare"
SINDA Bursary,Singapore Indian Development Association (SINDA),SINDA Bursary supports low-income and deserving families with education-related financial assistance. We ensure that all families seeking assistance are assessed and eligible families are linked with the respective SINDA’s programmes and schemes.,"Indian community,Children from low income families,Low income families",Financial assistance,https://www.sinda.org.sg/financial_assistance/sinda-bursary/,https://chidnast.sirv.com/SchemesSG/sinda.jpg,Education,"Bursary, school fees, education, poor, children no money to study"
DOT Confidence Curriculum,Daughters of Tomorrow (DOT),"DOT’s Confidence Curriculum (DCC) is a series of workshops consisting of personal discovery, soft skills and communications, coaching and professional development modules designed to help women rediscover their talents and strengths while opening their minds to new and greater possibilities in life.",Women,Educational programmes,https://daughtersoftomorrow.org/get-support/confidence-curriculum/,https://chidnast.sirv.com/SchemesSG/dot.jpg,Education,"Women, empowerment, professional development, communications, growth, skills, development, talent, strengths, possibilities, woman, ladies, mothes, single, work oportunities"
Sexual Assualt Care Centre,Association of Women for Action and Research (AWARE),"The Care Centre provides safe, free and confidential services for anyone who has faced sexual assault and/or sexual harassment, even if it happened years ago. If you need help, or feel unsure about a sexual encounter and just want to talk, please call, WhatsApp, email or visit by appointment.","Facing abuse,Facing harassment,Women","Emotional care,Counselling",https://sacc.aware.org.sg,https://chidnast.sirv.com/SchemesSG/aware.jpg,"Family,Youth-at-Risk,Women","Abuse, Sexual, Sexual Abuse, Sexual Assault, Sexual Violence, trauma, molest, me too"
Divorce Support Group,Association of Women for Action and Research (AWARE),"Learn ways to cope with emotional upheavals, adapt to changes, restructure our lives meaningfully and embrace this new stage of life with hope and positivity.","Undergoing divorce,Women","Emotional care,Counselling",https://www.aware.org.sg/2020/11/support-group-for-women-going-through-divorce-2/,https://chidnast.sirv.com/SchemesSG/aware.jpg,"Family,Youth-at-Risk,Women","Divorce, abuse, marriage, broken, family, single, seperation, marital abuse,"
Information,Association of Women for Action and Research (AWARE),"Information on various issues, including contraception and STI testing, abortion, family violence, divorce, sexual assault, sexual harassment and family violence.","Facing abuse,Undergoing divorce,Women",Information,https://www.aware.org.sg/information/abortion/,https://chidnast.sirv.com/SchemesSG/aware.jpg,"Family,Youth-at-Risk,Women","pregnancy, teenage, teen, underaged, sexually transmitted disease, STI, abortion, miscarriage, baby, child, unwanted, abuse, sexual, contraception, counselling, guilt, procedures, pre-abortion, family violence, divorce, separation, abusive spouse, husband hit, wife hit, domestic abuse"
Counselling Services,Club2Care,"Recognizing potential, rebuilding lives and regaining mental wellness of individuals through CARE",In need of mental healthcare,Counselling,https://www.club2care.com,https://chidnast.sirv.com/SchemesSG/club2care.jpg,Mental Health,"mental health, depression, dementia, emotional, counselling, mental, crazy, mad, low, self esteem, psychiatric, treatment,"
Various services,Goodlife!,"Network for people with dementia and depression, as well as caregivers who need the additional support to care for their loved ones. Provides appropriate mental health care and social support networks through outreach and education. A dedicated team of social workers assess the needs of the elderly and link senior citizens or caregivers to the relevant community resources. Care Closer to Home (CACHE) provides support and guidance for elderly aged 50 years old and above, diagnosed with one or more chronic illnesses. Elderly clients' health conditions are monitored on a regular basis and the clients are taught to manage their medication and wellbeing. Befriending services: regular home visits to seniors and caregivers who need assistance and support.","Elderly in need of mental healthcare,Dementia patients,Caregivers","Emotional care,Counselling,Befriending services",https://www.goodlife.org.sg/,https://chidnast.sirv.com/SchemesSG/goodlife.jpg,"Mental Health,Elderly","healthcare, elderly, dementia, caregivers, befriending, elderly has dementia and needs counselling, chronic health problems elderly, elderly cannot cope with dementia, elderly is alone and depressed, old person depression, father depression, mother depression, isolated senior needs befriending and visit, caregiver cannot cope with caregiving needs"
Various services,Boys' Town,"Home and shelter for at-risk youth, providing alternative schooling, educational programmes, fostering services and other clinical interventions.",Youth-at-risk,"Fostering,Educational programmes,Shelter,Counselling for at-risk-youth",www.boystown.org.sg,https://chidnast.sirv.com/SchemesSG/boystown.jpg,"Youth-at-Risk,Children","youth wayward, child mix with gang, residential home for boys, getting into fights, looking for a foster parent, youth outreach"
Various services,Archdiocesan Commission for the Pastoral Care of Migrants & Itinerant People (ACMI),"Looks after the needs of the migrants in Singapore, breadbasket events at workers’ dormitories, befriender networks across all foreign communities, and by skills development for foreign domestic workers and their spouses",Migrant workers,"Casework,Educaitonal programmes,Food",www.acmi.org.sg,https://chidnast.sirv.com/SchemesSG/acmi.jpg,Migrant Workers,"migrant workers, foreign workers, foreign domestic workers, maid needs help, meals, domestic worker looking to upgrade"
Legal Aid,Legal Aid Bureau,Legal advice; legal assistance to draft a Will or Deed of Separation; legal representation in court proceedings,In need of legal aid,Legal services,https://lab.mlaw.gov.sg/,https://chidnast.sirv.com/SchemesSG/minlaw.jpg,Legal Aid,"legal aid, need help with law, family law, settle issues, litigation, need lawyer to help with estate planning inheritance legacy, employment mediation, tenancy disputes, monetary claims, motor and industrial accident claims"
Rehabilitation Centre and Respite Centre,Abilities Beyond Limitations and Expectations (ABLE),"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates","PWD,Elderly,Caregiver","Occupational therapy,Physiotherapy,Educational programmes",https://www.able-sg.org/,https://chidnast.sirv.com/SchemesSG/able.jpg,"PWD,Family,Transport,Healthcare,Mental Health","rehabilitation, occupational therapy, physiotherapy, respite services, wheelchair accessible vans, physical disability, caregiver burden, caregive overloaded, caregiver needs help, physical disabilities return to work, transport for disabled"
CLG Legal Clinic,Catholic Lawyers Guild,"It provides legal assistance for the poor, disadvantaged and sandwiched classes to obtain advice on personal matters such as family issues, estates, employment, personal accidents, tenancy disputes, monetary claims, motor and industrial accident claims, etc.",In need of legal aid,Legal services,https://clgsingapore.com/,https://chidnast.sirv.com/SchemesSG/catholiclawyersguild.jpg,Legal Aid,"legal aid, need help with law, family law, settle issues, litigation, need lawyer to help with estate planning inheritance legacy, employment mediation, tenancy disputes, monetary claims, motor and industrial accident claims"
Various services,Clarity Singapore Limited,"Provides rehabilitation and emotional support for those aged 16 years and above struggling with mental health conditions such as anxiety, depression, stress, arising from bereavement and loss, relationship and other emotional issues to manage their mental health conditions.","Struggling with loss,Need mental healthcare","Counselling,Emotional care",https://www.clarity-singapore.org/web1/,https://chidnast.sirv.com/SchemesSG/clarity.jpg,Mental Health,"counselling, psycho-therapy, mental health"
Various services,Grief Matters,End of life care such as Advance Care Planning (ACP); Psychosocial and spiritual support; Support to caregivers; Grief counselling; Advice on estate planning and funeral arrangements; Link-up to healthcare and community resources; Training and education on care planning and grief literacy,"Struggling with loss,Facing end of life","Counselling,Emotional care,End of life care",https://www.griefmatters.org.sg/services/,https://chidnast.sirv.com/SchemesSG/griefmatters.jpg,End-of-Life,"grief, caregivers, healthcare, estate planning, funeral, going to die soon, need pastoral care, death"
Various services,Marine Parade Family Service Centre,Information relating to social service and referrals to appropriate services; casework and counselling; therapeutic groupwork,Families,"Counselling,Casework",https://www.mpfsc.org.sg/,https://chidnast.sirv.com/SchemesSG/mpfsc.jpg,"Low Income,Family","casework, counselling, family, individual, social service"
Various services,@27 Family Service Centre,Information relating to social service and referrals to appropriate services; casework & counselling; therapeutic groupwork,Families,"Counselling,Casework",https://www.27fsc.org.sg/,https://chidnast.sirv.com/SchemesSG/27fsc.jpg,"Low Income,Family","social service, individuals, families, casework, counselling"
Various services,Big Love Child Protection Specialist Centre,Casework management; child protection; home-based parenting training; building psychological and social resilience for children and young persons; family bonding,Parents,"Casework,Child protection,Educational programmes on parenting",https://www.biglove.org.sg/,https://chidnast.sirv.com/SchemesSG/biglove.jpg,"Children,Family","child protection, abuse, family violence, children, families"
Casework,Serangoon Moral Family Service Centre,"Casework management for those facing financial difficulties, marital and couple issues, parenting and family issues, or have mental health needs","Parents,Families","Casework,Counselling,Referral",https://smfsc.org.sg/casework/,https://chidnast.sirv.com/SchemesSG/smfsc.jpg,"Low Income, Family","casework, counselling, family, individual, social service"
Family services,NuLife Care & Counselling Services,"Casework management and counselling including pre-marital counselling, marriage counselling, couple therapy, single parent support, housing matters, communication & conflict management, mediation",Families,"Casework,Counselling,Referral",https://nulife.com.sg/counselling/,https://chidnast.sirv.com/SchemesSG/nulife.jpg,Family,"casework, counselling, family, individual, social service, going through a divorce, need someone to talk to"
Elderly services,NuLife Care & Counselling Services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",Elderly,"Casework,Counselling,Referral",https://nulife.com.sg/counselling/,https://chidnast.sirv.com/SchemesSG/nulife.jpg,"Elderly,Mental Health,End-of-Life","healthcare, elderly, dementia, caregivers, befriending, elderly has dementia and needs counselling, chronic health problems elderly, elderly cannot cope with dementia, elderly is alone and depressed, old person depression, father depression, mother depression, isolated senior needs befriending and visit, son has conflict with father, children are abusive to parents"
Children and youth services,NuLife Care & Counselling Services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.","Children,Youth-at-risk,Youth on probation","Casework,Befriender services,Educational programmes for youth at-risk",https://nulife.com.sg/counselling/,https://chidnast.sirv.com/SchemesSG/nulife.jpg,"Children,Youth-at-Risk,Mental Health","Child is rebellous, child hit parent, youth bullying, youth, teenager, teenage angst, hard to control teenage child"
Services for individials,NuLife Care & Counselling Services,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",In need of mental healthcare,"Casework,Befriender services,Emotional care,Counselling",https://nulife.com.sg/counselling/,https://chidnast.sirv.com/SchemesSG/nulife.jpg,Mental Health,"counselling, psycho-therapy, mental health, suicidal thoughts"
Legal Counselling,NuLife Care & Counselling Services,"Mediation and negotiation, deed of separation, application of personal protection order, divorce and ancillary legal matgters, magistrate comnplaint, legal aid referral, small claim tribunal matters, maintenance, custody matters",In need of legal aid,Legal services,https://nulife.com.sg/counselling/,https://chidnast.sirv.com/SchemesSG/nulife.jpg,Legal Aid,"Divorce, PPO, public protection order, legal, law"
COVID-19 Assistance,NuLife Care & Counselling Services,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,"Elderly,Families,Low income","Referral,Food",https://nulife.com.sg/covid-our-efforts/,https://chidnast.sirv.com/SchemesSG/nulife.jpg,"COVID-19,Food","COVID, debt, pandemic, poor, hungry, nothing to eat, have not eaten, no food, need food"
Emergency Fund,ONE Singapore,"Disburses money to assist low-income individuals and families in Singapore who urgently need help. The fund was established to help individuals who need assistance, but cannot find it elsewhere, or cannot obtain it in time.",Low income,Financial assistance,http://onesingapore.org/take-action/emergency-fund/,https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,Low Income,"Financial assistance, money for daily expenses, household needs, cash for daily needs, urgent assistance, Comcare"
